instance,source,n_vars,n_cons,solver,obj_nominal,solve_time,converged,S,feasibility_rate,infeasibility_rate,mean_obj,std_obj,mean_violation,max_violation,n_test
semi-integer,NETLIB,4,4,Nominal-LP,nan,0.2079960689879954,False,deterministic (mean only),0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-integer,NETLIB,4,4,HiGHS-SAA,-619030223.526454,0.2813050888944417,True,100,0.98,0.020000000000000018,-616326741.5323335,38795276.42896984,0.0034742734767721065,0.3655255559121794,400
semi-integer,NETLIB,4,4,OR-Tools GLOP-SAA,nan,3.7204679410206154,False,100,0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-integer,NETLIB,4,4,OR-Tools PDLP-SAA,nan,0.2144535219995305,False,100,0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-integer,NETLIB,4,4,Bertsimas-Sim(γ=3.0),-225131531.65286097,0.008695419994182885,True,parametric robust (γ=3.0),1.0,0.0,-277182752.37587315,17515799.152044483,0.0,0.0,400
semi-integer,NETLIB,4,4,CVaR-LP(α=0.95),nan,0.21615026309154928,False,100,0.0,1.0,0.0,0.0,0.5022949261545253,0.5793903997510056,400
semi-integer,NETLIB,4,4,FuzzyPD-LP,-88111431.35442238,1.4737461439799517,True,BS(γ=5.0)+AdvSAA(100)+Combo,1.0,0.0,-87941623.92088486,5557228.37573887,0.0,0.0,400
semi-integer,NETLIB,4,4,TSAR-BS-only,-88111431.35442238,0.4415471530519426,True,BS-only(γ=5.0),1.0,0.0,-87941623.92088486,5557228.37573887,0.0,0.0,400
semi-integer,NETLIB,4,4,TSAR-Adv-only,-786.006096051636,0.8257627339335158,True,AdvSAA-only(S=100),1.0,0.0,-784.4781236651959,49.82296523659793,0.0,0.0,400
semi-integer,NETLIB,4,4,TSAR-No-calib,-526281833.2762334,0.01899177103769034,True,No-calibration(fixed γ=2.0),1.0,0.0,-525267588.4516449,33192835.591501825,0.0,0.0,400
test,NETLIB,7,6,Nominal-LP,-8.25,0.03455453203059733,True,deterministic (mean only),0.0675,0.9325,-8.253353569412242,0.6464953600104084,0.192900445823284,0.8450010563141515,400
test,NETLIB,7,6,HiGHS-SAA,-7.1108769364605,1.123350169043988,True,100,0.9875,0.012499999999999956,-7.038239254030259,0.5948278592046442,0.00033055509318280827,0.09240339602737047,400
test,NETLIB,7,6,OR-Tools GLOP-SAA,-7.110876935007823,3.025446170940995,True,100,0.9875,0.012499999999999956,-7.038239252658991,0.5948278591759755,0.00033055506939108306,0.09240339613354953,400
test,NETLIB,7,6,OR-Tools PDLP-SAA,-7.11087693610844,0.9075324159348384,True,100,0.9875,0.012499999999999956,-7.038239253757542,0.5948278591767991,0.0003305550806185503,0.0924033982376955,400
test,NETLIB,7,6,Bertsimas-Sim(γ=3.0),-4.117137427226558,0.00895969895645976,True,parametric robust (γ=3.0),1.0,0.0,-6.195017758573288,0.5654753885877304,0.0,0.0,400
test,NETLIB,7,6,CVaR-LP(α=0.95),-7.033328622623525,1.3245790880173445,True,100,0.9875,0.012499999999999956,-7.038239254030259,0.5948278592046442,0.00033055509318280827,0.09240339602737047,400
